date,releaseName,removals,geneAdditions,allelleAdditions,sequenceUpdate,metadataUpdate
2019-04-10,201915-3,,,,,2
2019-04-02,201914-2 ,,1,4,1,
2019-02-12,201907-2,1,,,1,2
2018-12-20,201851-4,,,,1,
2018-11-08,201845-4,,1,1,,
2018-09-26,201839-3,,1,1,,2
2018-09-03,201836-1,,4,4,3,
2018-07-25,201830-3,,3,3,,
2018-07-18,201829-3,,1,1,1,
2018-06-13,201824-3,,,,1,
2018-04-04,201814-3 ,,8,8,2,
2018-02-08,201806-4,,,1,,
2017-12-20,201751-3 ,,,,2,
2017-07-11,201728-2,,,,,1
2017-06-08,201723-4,,,,,4
2016-10-07,201640-5,1,1,1,2,
2015-07-28,201531-2,,,1,2,
2015-07-09,201528-4 ,,4,5,,
2015-04-08,201515-3,3,,,,2
2015-03-12,201511-4,,,,6,1
2015-02-17,201508-2,,,,16,1
2015-01-19,201504-1,,,15,,
2014-09-03,201436-3 ,,4,,5,
2014-04-03,201414-4,,,,,1
2014-03-07,201410-5,,1,,2,
2014-02-20,201408-4,,3,3,1,2
2013-12-02,201349-1,2,,,6,5
2013-09-16,201338-1,,1,1,,
2013-06-17,201325-1,,5,17,,
2013-03-14,201310-4 ,,1,1,,
2013-02-20,201308-3,1,,,2,
2012-09-12,201237-3,,,,1,
2012-07-27,201230-5,,,,1,
2012-03-01,201209-4,,,,1,
2012-01-06,201201-5,,1,1,,
2011-03-07,201110-1,,1,31,,
2010-12-20,201051-1,,2,,,
2010-07-28,201030-3 ,1,,,1,1